"Employee_ID","Joining_Year","Age","Business_Travel","Daily_Rate","Department","Distance_From_Home","Education","Environment_Satisfaction","Gender","Hourly_Rate","Job_Involvement","Job_Satisfaction","Marital_Status","Monthly_Income","Monthly_Rate","Num_Companies_Worked","Overtime","Percent_Salary_Hike","Performance_Rating","Relationship_Satisfaction","Stock_Option","Total_Working_Years","Training_Times_Last_Year","Work_Life_Balance","Years_At_Company","Years_In_Role","Years_Since_Promotion","Years_With_Manager","Attrition","Leaving_Year","Reason","Relieving_Status","Office_Code","Job_Level"
100000,2005,57,1,164,"Corporate Functions",22,"Doctorate",3,"Male",91,3,3,"Married",10492,3411,0,1,12,4,3,0,39,2,2,14,4,5,3,1,2019,"long hours","Voluntary","BOS",7
100001,2006,52,1,265,"Corporate Functions",19,"Doctorate",3,"Male",76,3,2,"Married",11529,3105,0,1,12,3,3,0,33,2,2,12,4,5,3,1,2018,"medical issues","Voluntary","NYC",6
100002,2006,53,1,607,"Corporate Functions",2,"Doctorate",3,"Female",78,2,4,"Married",10169,14618,0,0,16,4,2,1,34,4,3,12,3,1,4,1,2018,"retiring","Voluntary","OTT",6
100003,2006,54,1,215,"Corporate Functions",19,"Diploma",3,"Male",86,2,4,"Married",10314,3834,1,1,11,3,3,1,35,3,2,13,4,5,3,1,2019,"career change","Voluntary","NYC",7
100004,2007,57,1,285,"Marketing",2,"Diploma",3,"Male",31,2,2,"Married",19255,25762,6,1,12,4,4,0,39,2,3,11,5,5,3,1,2018,"retiring","Voluntary","CAL",5
100005,2007,57,1,224,"Corporate Functions",21,"Masters",3,"Male",93,2,3,"Married",10322,3392,1,1,12,3,4,1,38,2,2,14,4,5,3,1,2021,"retiring","Voluntary","CAL",7
100006,2007,50,1,528,"Corporate Functions",2,"Diploma",2,"Female",79,2,4,"Married",10557,14410,1,0,15,3,2,1,31,4,3,11,3,1,3,1,2018,"retiring","Voluntary","OTT",6
100007,2007,52,1,590,"Corporate Functions",2,"Diploma",2,"Male",76,2,4,"Divorced",10163,14718,0,0,15,4,1,1,33,3,3,11,3,1,3,1,2018,"return to school","Voluntary","PHL",6
100008,2007,58,1,147,"Delivery",23,"Diploma",4,"Female",94,3,4,"Married",10312,3465,1,0,12,2,4,1,40,3,2,15,4,6,3,1,2022,"Misconduct","Involuntary","BOS",3
100009,2007,57,1,305,"Marketing",2,"Masters",4,"Male",33,3,1,"Married",19272,25562,6,0,12,3,4,0,39,2,3,11,5,5,3,1,2018,"long hours","Voluntary","NYC",5
100010,2007,51,1,617,"Corporate Functions",3,"Doctorate",3,"Male",75,2,4,"Divorced",10080,14453,0,0,16,4,2,0,29,3,3,11,3,1,3,1,2018,"retiring","Voluntary","NYC",6
100011,2008,55,1,410,"Corporate Functions",18,"Masters",3,"Male",93,2,3,"Married",10348,3221,2,1,12,4,4,1,36,2,2,13,4,5,3,1,2021,"offered more money","Voluntary","BOS",7
100012,2008,51,1,753,"Corporate Functions",6,"Doctorate",3,"Male",60,1,2,"Married",15590,24835,7,0,11,4,3,0,31,2,1,10,4,5,4,1,2018,"career change","Voluntary","MKM",6
100013,2008,51,1,708,"Corporate Functions",12,"Bachelors",3,"Male",92,2,2,"Married",10389,2944,4,1,12,3,4,1,32,2,2,11,3,4,3,1,2019,"long hours","Voluntary","NYC",6
100014,2008,52,1,264,"Product",18,"Bachelors",3,"Male",88,2,3,"Married",10193,3834,1,0,11,4,4,1,34,3,2,12,4,5,3,1,2020,"retiring","Voluntary","PHL",2
100015,2008,51,1,418,"Corporate Functions",3,"Diploma",1,"Male",61,1,3,"Married",18567,25535,2,1,14,5,3,0,31,3,2,11,5,3,4,1,2019,"unhappy","Voluntary","PHL",6
100016,2008,51,1,262,"Corporate Functions",16,"Doctorate",3,"Male",81,2,4,"Married",10315,4081,1,0,11,3,3,1,32,3,2,12,4,4,3,1,2020,"retiring","Voluntary","VAN",6
100017,2008,57,1,292,"Corporate Functions",23,"Diploma",3,"Male",90,3,3,"Married",10331,3802,1,1,12,5,3,0,36,2,2,12,3,5,2,1,2020,"long hours","Voluntary","PHL",6
100018,2009,55,1,685,"Corporate Functions",26,"Diploma",3,"Male",60,2,4,"Married",19586,23037,1,0,21,4,3,1,36,3,3,13,3,1,5,0,NA,NA,NA,"VAN",7
100019,2009,53,1,230,"Sales",18,"Doctorate",3,"Male",84,2,4,"Married",10314,3912,1,0,11,5,3,1,34,3,2,12,4,5,3,1,2021,"retiring","Voluntary","TOR",3
100020,2009,58,1,682,"Corporate Functions",10,"Masters",4,"Male",37,3,3,"Single",13872,24409,0,0,13,3,3,0,38,1,2,13,4,1,3,0,NA,NA,NA,"CAL",7
100021,2009,44,1,429,"Corporate Functions",13,"Diploma",3,"Male",51,3,1,"Married",13225,2604,0,0,12,5,2,0,24,2,2,9,4,5,5,1,2018,"reallocation out of the area","Voluntary","MKM",6
100022,2009,50,1,632,"Corporate Functions",4,"Doctorate",3,"Female",72,2,4,"Married",9939,14192,0,0,16,5,2,0,23,3,3,9,3,1,3,1,2018,"unhappy","Voluntary","NYC",6
100023,2009,54,1,685,"Corporate Functions",25,"Masters",2,"Female",60,2,3,"Married",19577,23034,1,0,20,3,3,0,35,2,2,13,2,1,5,0,NA,NA,NA,"BOS",7
100024,2009,56,1,618,"Sales",12,"Masters",3,"Female",46,2,3,"Single",13969,24416,0,0,13,3,3,0,36,1,2,13,4,2,3,0,NA,NA,NA,"VAN",4
100025,2009,58,1,286,"Corporate Functions",2,"Doctorate",4,"Male",31,3,2,"Single",19246,25761,7,1,12,4,4,0,40,2,3,11,6,5,3,1,2020,"retiring","Voluntary","TOR",6
100026,2009,54,1,689,"Corporate Functions",25,"Masters",3,"Female",60,2,4,"Divorced",19584,23067,1,0,20,3,3,1,35,3,2,13,2,1,5,0,NA,NA,NA,"TOR",7
100027,2009,54,1,450,"HR",1,"Bachelors",4,"Male",81,3,1,"Divorced",19049,18939,0,0,14,3,2,0,36,2,2,13,4,2,5,0,NA,NA,NA,"VAN",5
100028,2009,53,1,271,"Corporate Functions",2,"Diploma",1,"Male",50,1,3,"Married",19691,25824,2,1,14,5,4,0,34,2,3,11,5,3,3,1,2020,"offered more money","Voluntary","VAN",6
100029,2009,50,1,586,"Corporate Functions",4,"Masters",1,"Male",66,1,3,"Married",17171,25195,3,1,13,3,3,0,29,3,2,10,4,4,4,1,2019,"unhappy","Voluntary","TOR",6
100030,2009,55,1,452,"Delivery",1,"Doctorate",4,"Male",81,3,1,"Single",19045,18938,0,1,14,3,3,0,37,2,3,13,4,2,5,0,NA,NA,NA,"CAL",5
100031,2009,47,2,1093,"Corporate Functions",9,"Diploma",3,"Male",82,1,3,"Married",12936,24164,7,0,11,5,3,0,25,3,1,9,2,5,4,1,2018,"long hours","Voluntary","NYC",6
100032,2010,46,1,1120,"Corporate Functions",5,"Doctorate",2,"Male",91,2,1,"Married",10446,2562,7,1,13,5,4,1,27,1,2,9,3,2,3,1,2019,"return to school","Voluntary","CAL",6
100033,2010,54,1,523,"Sales",15,"Diploma",3,"Female",60,2,3,"Single",14116,24427,0,0,13,3,3,0,35,1,2,12,3,3,3,0,NA,NA,NA,"VAN",4
100034,2010,57,1,730,"Corporate Functions",9,"Diploma",3,"Female",39,3,3,"Single",13842,24372,0,0,12,3,2,0,36,1,1,12,4,1,3,0,NA,NA,NA,"MKM",6
100035,2010,42,1,779,"Marketing",8,"Doctorate",2,"Male",59,2,1,"Married",12666,2406,2,1,12,5,2,0,22,1,2,8,3,4,4,1,2018,"unhappy","Voluntary","VAN",3
100036,2010,49,1,906,"Corporate Functions",9,"Doctorate",2,"Male",92,2,2,"Married",10417,2761,5,1,13,4,4,1,30,1,2,10,3,3,3,1,2020,"long hours","Voluntary","BOS",6
100037,2010,51,1,770,"Corporate Functions",5,"Masters",3,"Male",84,3,2,"Divorced",14026,17588,1,1,11,3,2,1,33,2,3,12,4,1,4,0,NA,NA,NA,"TOR",6
100038,2010,42,1,618,"Corporate Functions",10,"Diploma",2,"Male",51,2,1,"Married",13252,2428,1,1,12,5,2,0,22,1,2,8,3,4,5,1,2018,"medical issues","Voluntary","NYC",3
100039,2010,44,1,1379,"Sales",1,"Masters",1,"Male",91,1,1,"Single",10832,2333,8,1,14,5,3,0,24,1,3,8,3,1,3,1,2018,"reallocation out of the area","Voluntary","NYC",3
100040,2010,50,2,333,"Corporate Functions",22,"Doctorate",3,"Male",88,1,4,"Single",14411,24450,1,1,13,3,4,0,32,2,3,12,3,5,4,0,NA,NA,NA,"BOS",6
100041,2010,52,0,771,"Corporate Functions",2,"Doctorate",1,"Male",79,2,3,"Single",19068,21030,1,1,18,3,4,0,33,2,4,12,3,6,5,0,NA,NA,NA,"MKM",6
100042,2010,50,0,762,"Corporate Functions",2,"Masters",1,"Male",76,2,3,"Married",19084,21039,1,0,17,3,3,0,32,2,3,12,3,5,4,0,NA,NA,NA,"PHL",6
100043,2010,52,1,621,"Delivery",3,"Masters",3,"Male",31,2,1,"Married",16856,10084,1,0,11,3,1,0,34,3,4,12,3,1,6,0,NA,NA,NA,"MKM",4
